id,topic
640,Cross-platform
641,disintermediate
642,local
643,Synergistic
644,Face to face
645,neutral
646,interactive
647,instruction set
648,value-added
649,intranet
650,artificial intelligence
651,Diverse
652,success
653,Horizontal
654,holistic
655,policy
656,Pre-emptive
657,collaboration
658,contextually-based
659,global
660,didactic
661,structure
662,array
663,Adaptive
664,intranet
665,24 hour
666,Future-proofed
667,algorithm
668,internet solution
669,collaboration
670,benchmark
671,Organic
672,service-desk
673,Graphic Interface
674,Reduced
675,process improvement
676,context-sensitive
677,Configurable
678,disintermediate
679,process improvement
680,contextually-based
681,bandwidth-monitored
682,frame
683,scalable
684,hybrid
685,Re-contextualized
686,bottom-line
687,Focused
688,client-driven
689,synergy
690,application
691,extranet
692,asynchronous
693,Vision-oriented
694,matrix
695,initiative
696,capacity
697,Team-oriented
698,object-oriented
699,Persistent
700,algorithm
701,adapter
702,attitude
703,Optional
704,Horizontal
705,Organized
706,directional
707,Graphic Interface
708,didactic
709,Graphical User Interface
710,Organized
711,projection
712,superstructure
713,capability
714,database
715,moratorium
716,solution
717,approach
718,mission-critical
719,multi-state
720,composite
721,motivating
722,Phased
723,Customizable
724,Enhanced
725,analyzing
726,database
727,Vision-oriented
728,maximized
729,initiative
730,object-oriented
731,De-engineered
732,incremental
733,Innovative
734,Centralized
735,foreground
736,standardization
737,neural-net
738,scalable
739,paradigm
740,multi-state
741,website
742,Programmable
743,maximized
744,radical
745,heuristic
746,Re-contextualized
747,homogeneous
748,ability
749,system engine
750,impactful
751,global
752,Decentralized
753,impactful
754,disintermediate
755,Programmable
756,adapter
757,concept
758,migration
759,help-desk
760,intermediate
761,migration
762,incremental
763,standardization
764,middleware
765,Intuitive
766,Seamless
767,empowering
768,holistic
769,value-added
770,dedicated
771,groupware
772,Customizable
773,Organized
774,Adaptive
775,encompassing
776,directional
777,mobile
778,attitude
779,homogeneous
780,maximized
781,non-volatile
782,secondary
783,interface
784,challenge
785,Right-sized
786,Configurable
787,exuding
788,responsive
789,solution
790,Future-proofed
791,4th generation
792,Synergized
793,User-friendly
794,Optimized
795,open system
796,paradigm
797,help-desk
798,bi-directional
799,Enhanced
800,national
801,extranet
802,Integrated
803,next generation
804,context-sensitive
805,contextually-based
806,Synergized
807,exuding
808,actuating
809,multimedia
810,groupware
811,24/7
812,Configurable
813,6th generation
814,Decentralized
815,scalable
816,conglomeration
817,radical
818,circuit
819,methodology
820,strategy
821,clear-thinking
822,Optimized
823,paradigm
824,local area network
825,firmware
826,client-driven
827,Synergistic
828,Implemented
829,architecture
830,Exclusive
831,responsive
832,intranet
833,uniform
834,Reactive
835,time-frame
836,Streamlined
837,Triple-buffered
838,asynchronous
839,client-server
840,matrix
841,focus group
842,capacity
843,Face to face
844,Fully-configurable
845,user-facing
846,client-server
847,bottom-line
848,reciprocal
849,discrete
850,real-time
851,Re-contextualized
852,Integrated
853,Grass-roots
854,forecast
855,application
856,systemic
857,Compatible
858,mobile
859,data-warehouse
860,bi-directional
861,concept
862,secondary
863,projection
864,Digitized
865,Operative
866,Inverse
867,Virtual
868,multi-tasking
869,Graphical User Interface
870,bi-directional
871,capability
872,dedicated
873,Synergistic
874,Open-architected
875,Multi-lateral
876,Future-proofed
877,software
878,Fundamental
879,methodology
880,focus group
881,content-based
882,circuit
883,Horizontal
884,Graphical User Interface
885,Fully-configurable
886,Advanced
887,task-force
888,Reverse-engineered
889,artificial intelligence
890,executive
891,archive
892,methodical
893,Synergized
894,Cross-group
895,instruction set
896,transitional
897,architecture
898,synergy
899,actuating
900,didactic
901,Open-source
902,mission-critical
903,dynamic
904,paradigm
905,executive
906,core
907,support
908,Upgradable
909,throughput
910,Reverse-engineered
911,secondary
912,modular
913,well-modulated
914,leading edge
915,customer loyalty
916,coherent
917,radical
918,bandwidth-monitored
919,Adaptive
920,benchmark
921,knowledge user
922,Vision-oriented
923,user-facing
924,object-oriented
925,productivity
926,standardization
927,asymmetric
928,content-based
929,Cross-group
930,holistic
931,monitoring
932,asymmetric
933,Realigned
934,concept
935,multi-tasking
936,Up-sized
937,scalable
938,Switchable
939,emulation
940,mobile
941,time-frame
942,Enhanced
943,Graphical User Interface
944,database
945,utilisation
946,bifurcated
947,maximized
948,methodical
949,software
950,Assimilated
951,24/7
952,bi-directional
953,algorithm
954,Centralized
955,Virtual
956,demand-driven
957,Multi-tiered
958,holistic
959,holistic
960,24 hour
961,standardization
962,bi-directional
963,solution
964,optimal
965,incremental
966,challenge
967,monitoring
968,Total
969,Triple-buffered
970,Automated
971,homogeneous
972,challenge
973,matrix
974,asymmetric
975,Cloned
976,local
977,methodical
978,Re-engineered
979,Configurable
980,Seamless
981,application
982,moratorium
983,Implemented
984,instruction set
985,contingency
986,Organized
987,Future-proofed
988,Reduced
989,Progressive
990,bi-directional
991,Profound
992,exuding
993,cohesive
994,ability
995,Pre-emptive
996,migration
997,Fundamental
998,throughput
999,Open-source
1000,client-driven
