id,topic
591,heuristic
592,Synchronised
593,utilisation
594,client-driven
595,solution-oriented
596,Horizontal
597,service-desk
598,methodology
599,mobile
600,interface
601,actuating
602,6th generation
603,protocol
604,strategy
605,interface
606,Innovative
607,clear-thinking
608,methodical
609,Triple-buffered
610,protocol
611,value-added
612,monitoring
613,Versatile
614,scalable
615,zero administration
616,Innovative
617,initiative
618,coherent
619,analyzer
620,regional
621,clear-thinking
622,Organized
623,installation
624,framework
625,object-oriented
626,Up-sized
627,3rd generation
628,architecture
629,Persevering
630,Vision-oriented
631,hierarchy
632,alliance
633,Digitized
634,bottom-line
635,open architecture
636,Sharable
637,monitoring
638,coherent
639,Public-key
640,superstructure
641,system-worthy
642,client-server
643,product
644,3rd generation
645,Diverse
646,actuating
647,context-sensitive
648,process improvement
649,Optimized
650,intranet
651,database
652,User-friendly
653,Diverse
654,motivating
655,optimal
656,24/7
657,structure
658,Compatible
659,software
660,bi-directional
661,emulation
662,global
663,homogeneous
664,solution
665,upward-trending
666,Multi-lateral
667,architecture
668,bandwidth-monitored
669,intranet
670,foreground
671,Assimilated
672,customer loyalty
673,Extended
674,flexibility
675,architecture
676,zero tolerance
677,instruction set
678,Realigned
679,Implemented
680,Multi-tiered
681,array
682,focus group
683,homogeneous
684,Centralized
685,knowledge user
686,3rd generation
687,Diverse
688,moratorium
689,Universal
690,Multi-layered
691,Optimized
692,alliance
693,portal
694,benchmark
695,Reverse-engineered
696,approach
697,analyzer
698,concept
699,intermediate
700,well-modulated
701,architecture
702,reciprocal
703,client-server
704,Reduced
705,Re-contextualized
706,capacity
707,non-volatile
708,full-range
709,migration
710,clear-thinking
711,interactive
712,moderator
713,Multi-layered
714,Sharable
715,Compatible
716,leverage
717,systematic
718,web-enabled
719,Sharable
720,Streamlined
721,radical
722,Ergonomic
723,migration
724,client-server
725,neutral
726,multi-state
727,toolset
728,interface
729,Front-line
730,contingency
731,Cross-platform
732,intranet
733,Multi-channelled
734,Triple-buffered
735,composite
736,Diverse
737,Enhanced
738,emulation
739,systemic
740,Progressive
741,definition
742,global
743,knowledge base
744,Open-source
745,benchmark
746,Self-enabling
747,local
748,fresh-thinking
749,Cloned
750,Open-source
751,zero tolerance
752,Stand-alone
753,Grass-roots
754,local area network
755,capacity
756,Customer-focused
757,Automated
758,User-friendly
759,adapter
760,Synergistic
761,User-friendly
762,methodology
763,directional
764,productivity
765,Down-sized
766,infrastructure
767,Inverse
768,support
769,Synchronised
770,Upgradable
771,Persistent
772,uniform
773,Networked
774,hybrid
775,synergy
776,complexity
777,Front-line
778,clear-thinking
779,Public-key
780,demand-driven
781,circuit
782,6th generation
783,alliance
784,scalable
785,client-server
786,encryption
787,Focused
788,capability
789,Fundamental
790,Managed
791,client-server
792,responsive
793,web-enabled
794,flexibility
795,multimedia
796,neural-net
797,Centralized
798,multimedia
799,Optional
800,multimedia
801,Compatible
802,Multi-tiered
803,archive
804,success
805,success
806,radical
807,static
808,Upgradable
809,workforce
810,Expanded
811,installation
812,Cross-group
813,artificial intelligence
814,eco-centric
815,collaboration
816,systematic
817,Monitored
818,middleware
819,Configurable
820,paradigm
821,scalable
822,secondary
823,project
824,radical
825,Focused
826,Fundamental
827,bandwidth-monitored
828,dynamic
829,Expanded
830,benchmark
831,portal
832,neural-net
833,Switchable
834,Reactive
835,fault-tolerant
836,open system
837,Cross-group
838,data-warehouse
839,implementation
840,Extended
841,Devolved
842,Seamless
843,Optional
844,Automated
845,modular
846,well-modulated
847,impactful
848,Inverse
849,Vision-oriented
850,24 hour
851,logistical
852,Triple-buffered
853,benchmark
854,Synchronised
855,Open-architected
856,local area network
857,matrix
858,matrix
859,Exclusive
860,Vision-oriented
861,5th generation
862,Visionary
863,alliance
864,throughput
865,knowledge base
866,interface
867,implementation
868,Configurable
869,Synchronised
870,Devolved
871,Robust
872,web-enabled
873,object-oriented
874,data-warehouse
875,24 hour
876,neutral
877,parallelism
878,scalable
879,Face to face
880,Networked
881,3rd generation
882,Assimilated
883,background
884,Customer-focused
885,radical
886,explicit
887,Graphic Interface
888,intranet
889,local area network
890,well-modulated
891,Balanced
892,budgetary management
893,zero tolerance
894,secondary
895,neutral
896,4th generation
897,Decentralized
898,installation
899,Proactive
900,next generation
901,hybrid
902,leading edge
903,leading edge
904,asynchronous
905,contextually-based
906,radical
907,internet solution
908,Automated
909,Right-sized
910,6th generation
911,access
912,next generation
913,even-keeled
914,flexibility
915,projection
916,Enhanced
917,data-warehouse
918,methodical
919,Monitored
920,responsive
921,clear-thinking
922,3rd generation
923,high-level
924,attitude-oriented
925,Decentralized
926,Grass-roots
927,policy
928,dedicated
929,data-warehouse
930,support
931,Profit-focused
932,core
933,Polarised
934,pricing structure
935,Universal
936,coherent
937,support
938,paradigm
939,Operative
940,object-oriented
941,Fundamental
942,portal
943,Proactive
944,upward-trending
945,parallelism
946,intranet
947,standardization
948,mobile
949,impactful
950,Balanced
951,Cloned
952,productivity
953,attitude-oriented
954,benchmark
955,Future-proofed
956,multi-state
957,Expanded
958,even-keeled
959,Devolved
960,Down-sized
961,groupware
962,Future-proofed
963,asynchronous
964,Secured
965,leverage
966,Stand-alone
967,Vision-oriented
968,knowledge user
969,system engine
970,interactive
971,Configurable
972,User-friendly
973,web-enabled
974,service-desk
975,bi-directional
976,transitional
977,product
978,foreground
979,transitional
980,knowledge user
981,data-warehouse
982,approach
983,attitude
984,Configurable
985,analyzer
986,strategy
987,fresh-thinking
988,Switchable
989,Object-based
990,Self-enabling
991,middleware
992,system engine
993,asynchronous
994,Distributed
995,contingency
996,upward-trending
997,initiative
998,policy
999,Cross-platform
1000,asynchronous
