id,first_name
209,Customizable
210,even-keeled
211,time-frame
212,Graphic Interface
213,Assimilated
214,service-desk
215,artificial intelligence
216,interface
217,monitoring
218,Up-sized
219,4th generation
220,context-sensitive
221,heuristic
222,Ameliorated
223,Quality-focused
224,monitoring
225,initiative
226,Profound
227,Compatible
228,bottom-line
229,Re-engineered
230,analyzer
231,software
232,internet solution
233,static
234,User-centric
235,Business-focused
236,Monitored
237,Sharable
238,Multi-layered
239,Cross-group
240,protocol
241,neutral
242,exuding
243,Customer-focused
244,high-level
245,Multi-channelled
246,Distributed
247,exuding
248,orchestration
249,moderator
250,open architecture
251,knowledge base
252,concept
253,intranet
254,analyzer
255,Synergized
256,archive
257,context-sensitive
258,full-range
259,Digitized
260,empowering
261,incremental
262,hybrid
263,tangible
264,24/7
265,demand-driven
266,extranet
267,bi-directional
268,time-frame
269,Synchronised
270,value-added
271,framework
272,support
273,paradigm
274,knowledge user
275,strategy
276,knowledge user
277,Synchronised
278,process improvement
279,intermediate
280,framework
281,Reverse-engineered
282,radical
283,access
284,De-engineered
285,asynchronous
286,Innovative
287,middleware
288,algorithm
289,optimal
290,clear-thinking
291,bandwidth-monitored
292,Enhanced
293,internet solution
294,task-force
295,implementation
296,Ergonomic
297,Business-focused
298,Fully-configurable
299,4th generation
300,structure
301,pricing structure
302,concept
303,hardware
304,radical
305,Balanced
306,extranet
307,artificial intelligence
308,Innovative
309,exuding
310,attitude
311,Business-focused
312,functionalities
313,Optimized
314,Programmable
315,software
316,budgetary management
317,Expanded
318,Streamlined
319,secured line
320,directional
321,object-oriented
322,Synchronised
323,Optional
324,moratorium
325,Object-based
326,real-time
327,emulation
328,hierarchy
329,Secured
330,Inverse
331,bottom-line
332,infrastructure
333,Monitored
334,human-resource
335,Re-contextualized
336,empowering
337,capacity
338,User-friendly
339,task-force
340,composite
341,analyzing
342,Secured
343,mission-critical
344,Synchronised
345,hierarchy
346,task-force
347,success
348,Focused
349,multimedia
350,Face to face
351,middleware
352,radical
353,frame
354,interactive
355,methodology
356,leading edge
357,info-mediaries
358,Organized
359,exuding
360,model
361,Open-source
362,Graphical User Interface
363,needs-based
364,cohesive
365,encryption
366,matrices
367,success
368,asynchronous
369,extranet
370,content-based
371,Innovative
372,standardization
373,bottom-line
374,Organized
375,matrix
376,Visionary
377,alliance
378,projection
379,Synergistic
380,Open-source
381,moratorium
382,project
383,throughput
384,Profound
385,Open-source
386,productivity
387,uniform
388,superstructure
389,empowering
390,Diverse
391,context-sensitive
392,Fully-configurable
393,Grass-roots
394,Cross-platform
395,Robust
396,Multi-layered
397,extranet
398,intranet
399,homogeneous
400,Compatible
401,projection
402,customer loyalty
403,directional
404,benchmark
405,static
406,superstructure
407,migration
408,Implemented
409,Sharable
410,empowering
411,homogeneous
412,Polarised
413,moderator
414,mission-critical
415,explicit
416,initiative
417,encompassing
418,web-enabled
419,Virtual
420,Universal
421,Visionary
422,capability
423,Reduced
424,asynchronous
425,Multi-tiered
426,systematic
427,object-oriented
428,Cross-platform
429,portal
430,Operative
431,uniform
432,application
433,needs-based
434,Fundamental
435,Business-focused
436,core
437,multi-tasking
438,Synergistic
439,Programmable
440,middleware
441,radical
442,Networked
443,Cross-group
444,intermediate
445,optimal
446,leading edge
447,Customizable
448,user-facing
449,Programmable
450,extranet
451,Enterprise-wide
452,Implemented
453,moderator
454,Automated
455,value-added
456,ability
457,utilisation
458,De-engineered
459,project
460,modular
461,Intuitive
462,bifurcated
463,encryption
464,process improvement
465,Operative
466,Ergonomic
467,benchmark
468,Inverse
469,multi-tasking
470,methodology
471,Public-key
472,Decentralized
473,circuit
474,knowledge base
475,radical
476,Multi-layered
477,zero administration
478,contingency
479,local
480,Graphical User Interface
481,functionalities
482,Open-source
483,Seamless
484,Grass-roots
485,capacity
486,Enterprise-wide
487,standardization
488,uniform
489,5th generation
490,actuating
491,hub
492,holistic
493,Pre-emptive
494,productivity
495,Re-contextualized
496,neural-net
497,instruction set
498,bottom-line
499,groupware
500,global
501,4th generation
502,system engine
503,Versatile
504,encompassing
505,groupware
506,Pre-emptive
507,Integrated
508,Team-oriented
509,zero defect
510,installation
511,stable
512,Face to face
513,knowledge user
514,attitude
515,mobile
516,reciprocal
517,zero defect
518,moratorium
519,upward-trending
520,local area network
521,Synergistic
522,foreground
523,intermediate
524,Synergistic
525,archive
526,circuit
527,archive
528,static
529,architecture
530,core
531,scalable
532,mission-critical
533,Fully-configurable
534,local area network
535,functionalities
536,Re-engineered
537,eco-centric
538,matrix
539,Monitored
540,Progressive
541,forecast
542,non-volatile
543,homogeneous
544,exuding
545,Multi-tiered
546,User-centric
547,national
548,eco-centric
549,Cross-platform
550,composite
551,Total
552,analyzer
553,toolset
554,composite
555,Open-architected
556,encryption
557,Expanded
558,Optional
559,scalable
560,motivating
561,executive
562,incremental
563,data-warehouse
564,open architecture
565,Face to face
566,4th generation
567,Front-line
568,Intuitive
569,didactic
570,success
571,pricing structure
572,disintermediate
573,Business-focused
574,bandwidth-monitored
575,Switchable
576,Intuitive
577,Re-engineered
578,concept
579,local area network
580,context-sensitive
581,multi-state
582,Organized
583,internet solution
584,Expanded
585,Balanced
586,Distributed
587,Cross-group
588,hybrid
589,asynchronous
590,Open-source
591,Right-sized
592,Progressive
593,archive
594,context-sensitive
595,multimedia
596,Exclusive
597,firmware
598,Triple-buffered
599,bifurcated
600,open system
601,4th generation
602,Cross-platform
603,24 hour
604,User-centric
605,Front-line
606,Multi-lateral
607,Multi-lateral
608,circuit
609,radical
610,Business-focused
611,methodical
612,national
613,matrix
614,eco-centric
615,initiative
616,moderator
617,instruction set
618,productivity
619,didactic
620,system-worthy
621,Graphical User Interface
622,synergy
623,optimal
624,fault-tolerant
625,Persevering
626,pricing structure
627,success
628,Implemented
629,hybrid
630,Visionary
631,circuit
632,Total
633,Implemented
634,tangible
635,Persistent
636,Mandatory
637,Business-focused
638,responsive
639,array
640,secured line
641,global
642,product
643,grid-enabled
644,project
645,Customer-focused
646,Exclusive
647,pricing structure
648,tertiary
649,Cloned
650,Grass-roots
651,system-worthy
652,Secured
653,Grass-roots
654,process improvement
655,24/7
656,hybrid
657,standardization
658,full-range
659,zero tolerance
660,service-desk
661,Ergonomic
662,24 hour
663,Future-proofed
664,Assimilated
665,solution
666,project
667,alliance
668,product
669,Diverse
670,background
671,Adaptive
672,database
673,Up-sized
674,directional
675,throughput
676,Expanded
677,utilisation
678,optimizing
679,Customer-focused
680,Graphical User Interface
681,functionalities
682,optimal
683,task-force
684,global
685,monitoring
686,policy
687,tertiary
688,productivity
689,Graphic Interface
690,uniform
691,software
692,challenge
693,Operative
694,software
695,Grass-roots
696,discrete
697,website
698,6th generation
699,website
700,Polarised
701,secondary
702,Sharable
703,algorithm
704,6th generation
705,workforce
706,artificial intelligence
707,solution-oriented
708,eco-centric
709,challenge
710,high-level
711,time-frame
712,Expanded
713,help-desk
714,zero tolerance
715,Customizable
716,Mandatory
717,Networked
718,flexibility
719,actuating
720,Multi-tiered
721,hybrid
722,clear-thinking
723,bandwidth-monitored
724,Robust
725,parallelism
726,leading edge
727,Diverse
728,model
729,Automated
730,emulation
731,throughput
732,architecture
733,Profound
734,toolset
735,Extended
736,foreground
737,firmware
738,interactive
739,Right-sized
740,Decentralized
741,responsive
742,archive
743,instruction set
744,3rd generation
745,knowledge user
746,Graphic Interface
747,matrices
748,leverage
749,clear-thinking
750,conglomeration
751,uniform
752,Intuitive
753,zero tolerance
754,modular
755,initiative
756,Ergonomic
757,Synergized
758,foreground
759,Inverse
760,Expanded
761,content-based
762,Profit-focused
763,actuating
764,tertiary
765,ability
766,hierarchy
767,exuding
768,dynamic
769,multi-tasking
770,5th generation
771,Stand-alone
772,next generation
773,didactic
774,system-worthy
775,task-force
776,zero administration
777,analyzing
778,hub
779,Persistent
780,functionalities
781,next generation
782,tangible
783,content-based
784,Total
785,Networked
786,zero tolerance
787,Managed
788,standardization
789,tangible
790,Implemented
791,approach
792,functionalities
793,alliance
794,next generation
795,analyzer
796,even-keeled
797,motivating
798,24 hour
799,solution
800,Down-sized
801,Advanced
802,non-volatile
803,secondary
804,Reverse-engineered
805,Open-architected
806,Upgradable
807,Graphical User Interface
808,hardware
809,Open-source
810,mission-critical
811,Ameliorated
812,ability
813,Integrated
814,Innovative
815,Down-sized
816,5th generation
817,conglomeration
818,high-level
819,focus group
820,function
821,coherent
822,real-time
823,Grass-roots
824,Compatible
825,executive
826,hierarchy
827,artificial intelligence
828,budgetary management
829,Public-key
830,methodical
831,next generation
832,Sharable
833,Fully-configurable
834,content-based
835,Pre-emptive
836,empowering
837,Intuitive
838,workforce
839,architecture
840,Multi-layered
841,disintermediate
842,systematic
843,zero defect
844,background
845,customer loyalty
846,budgetary management
847,3rd generation
848,Self-enabling
849,even-keeled
850,Graphical User Interface
851,modular
852,web-enabled
853,intermediate
854,Open-architected
855,Advanced
856,content-based
857,Pre-emptive
858,strategy
859,product
860,incremental
861,solution
862,tertiary
863,Optimized
864,empowering
865,Secured
866,Team-oriented
867,client-server
868,intangible
869,Programmable
870,Public-key
871,Reactive
872,Function-based
873,Digitized
874,approach
875,parallelism
876,Robust
877,benchmark
878,client-server
879,archive
880,Enhanced
881,matrices
882,methodical
883,Synergized
884,Stand-alone
885,migration
886,support
887,24 hour
888,Down-sized
889,hardware
890,Function-based
891,budgetary management
892,maximized
893,toolset
894,coherent
895,policy
896,empowering
897,Automated
898,user-facing
899,support
900,optimal
901,Customer-focused
902,utilisation
903,core
904,Phased
905,infrastructure
906,throughput
907,Down-sized
908,Adaptive
909,Ameliorated
910,De-engineered
911,Enhanced
912,tertiary
913,Synergized
914,5th generation
915,definition
916,5th generation
917,pricing structure
918,tangible
919,toolset
920,Robust
921,human-resource
922,actuating
923,Reverse-engineered
924,moderator
925,migration
926,initiative
927,task-force
928,Triple-buffered
929,flexibility
930,Advanced
931,Implemented
932,bifurcated
933,client-driven
934,non-volatile
935,Self-enabling
936,Exclusive
937,Seamless
938,multi-state
939,Face to face
940,high-level
941,incremental
942,challenge
943,middleware
944,object-oriented
945,approach
946,intranet
947,Fundamental
948,Cloned
949,Integrated
950,clear-thinking
951,definition
952,Operative
953,groupware
954,user-facing
955,User-centric
956,Ameliorated
957,initiative
958,Progressive
959,Monitored
960,architecture
961,help-desk
962,Self-enabling
963,system engine
964,composite
965,web-enabled
966,moderator
967,Versatile
968,middleware
969,Secured
970,paradigm
971,system engine
972,zero tolerance
973,Compatible
974,frame
975,actuating
976,discrete
977,multi-state
978,extranet
979,knowledge base
980,approach
981,internet solution
982,analyzer
983,orchestration
984,User-centric
985,Ameliorated
986,5th generation
987,Grass-roots
988,clear-thinking
989,Re-contextualized
990,Focused
991,Grass-roots
992,context-sensitive
993,background
994,didactic
995,Graphical User Interface
996,client-driven
997,contingency
998,impactful
999,motivating
1000,Seamless
